id,created_at,door_1,inside_1,door_2,inside_2,door_3,inside_3,door_4,inside_4,door_5,inside_5,door_6,inside_6,door_7,inside_7,door_8,inside_8,door_9,inside_9,door_10,inside_10,door_11,inside_11,door_12,inside_12,door_13,inside_13,door_14,inside_14,door_15,inside_15,behavior,description
179,2024-05-13 06:30:28+00,Near,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 1
180,2024-05-13 06:30:29+00,Near,Near,Near,Near,,,,,,,,,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 1
181,2024-05-13 06:30:30+00,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 1
182,2024-05-13 06:30:31+00,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 1
183,2024-05-13 06:30:32+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 1
184,2024-05-13 06:30:33+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 1
185,2024-05-13 06:30:34+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 1
186,2024-05-13 06:30:35+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,,,Out,2306 - 5m OUT - 1
187,2024-05-13 06:30:36+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,,,Out,2306 - 5m OUT - 1
188,2024-05-13 06:30:37+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,,,Out,2306 - 5m OUT - 1
189,2024-05-13 06:30:38+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,,,Out,2306 - 5m OUT - 1
190,2024-05-13 06:30:39+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,,,Out,2306 - 5m OUT - 1
191,2024-05-13 06:30:40+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,,,,,Out,2306 - 5m OUT - 1
192,2024-05-13 06:30:41+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,,,Out,2306 - 5m OUT - 1
193,2024-05-13 06:30:42+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Out,2306 - 5m OUT - 1
194,2024-05-13 06:30:43+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Out,2306 - 5m OUT - 1
195,2024-05-13 06:30:44+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Near,Near,Out,2306 - 5m OUT - 1
196,2024-05-13 06:30:45+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Near,Near,Near,Far,Out,2306 - 5m OUT - 1
197,2024-05-13 06:30:46+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Near,Near,Near,Far,Near,Far,Out,2306 - 5m OUT - 1
198,2024-05-13 06:30:47+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Near,Near,Near,Far,Near,Far,Far,Far,Out,2306 - 5m OUT - 1
199,2024-05-13 06:30:48+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Near,Near,Near,Far,Near,Far,Far,Far,Far,Far,Out,2306 - 5m OUT - 1
200,2024-05-13 06:30:49+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Near,Near,Near,Far,Near,Far,Far,Far,Far,Far,Far,Far,Out,2306 - 5m OUT - 1
201,2024-05-13 06:30:28+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Near,Near,Near,Far,Near,Far,Far,Far,Far,Far,Far,Far,Out,2306 - 5m OUT - 1
202,2024-05-13 06:30:29+00,Near,Near,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Near,Near,Near,Far,Near,Far,Far,Far,Far,Far,Far,Far,,,Out,2306 - 5m OUT - 1
203,2024-05-13 06:30:30+00,Near,Near,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Near,Near,Near,Far,Near,Far,Far,Far,Far,Far,Far,Far,,,,,Out,2306 - 5m OUT - 1
204,2024-05-13 06:30:31+00,Near,Near,Near,Near,Near,Near,Immediate,Near,Immediate,Near,Near,Near,Near,Near,Near,Far,Near,Far,Far,Far,Far,Far,Far,Far,,,,,,,Out,2306 - 5m OUT - 1
